id;fecha_hora_check_in;fecha_hora_check_out;estado;activo
1;2025-12-11T00:15:33;2025-12-10T15:27:35;REALIZADO;false
2;2025-12-10T02:24:32;2025-12-10T05:22:35;RETRASADO;true
3;2025-12-10T01:47:16;2025-12-10T05:33:13;REALIZADO;false
4;2025-12-10T12:22:29;2025-12-10T06:34:30;RETRASADO;false
5;2025-12-10T10:49:04;2025-12-10T18:30:46;REALIZADO;false
6;2025-12-10T05:00:27;2025-12-10T20:07:30;PENDIENTE;false
7;2025-12-10T10:40:54;2025-12-10T11:03:36;REALIZADO;true
8;2025-12-10T07:00:40;2025-12-10T04:52:58;REALIZADO;false
9;2025-12-10T11:56:08;2025-12-10T11:57:39;REALIZADO;false
10;2025-12-10T13:17:21;2025-12-10T20:41:36;REALIZADO;false
