id;clave;valor;tipo;categoria;descripcion;activo;fecha_modificacion
1;mash;stratify dish;IMAGE;intend hmph;quintessential boo;false;2025-12-19T05:15:42
2;whenever;adventurously;NUMBER;ugh;snoop;false;2025-12-19T13:51:15
3;zowie;pillory;IMAGE;rejoin;uh-huh pace;true;2025-12-19T21:29:42
4;yippee;aha furthermore;BOOLEAN;regarding;finding fen;true;2025-12-19T14:02:08
5;ack;brr phony enormously;IMAGE;seemingly;ethical management until;false;2025-12-19T15:26:14
6;true what glum;mockingly heartbeat;TEXT;whoa zebra;during pocket-watch structure;true;2025-12-19T09:20:59
7;sleepily;blah made-up;TEXT;partially inasmuch jot;oddly overcharge fooey;true;2025-12-19T19:07:01
8;release perspire;plastic;BOOLEAN;soliloquy meanwhile boohoo;fumigate;true;2025-12-19T10:34:45
9;lashes;than horst testimonial;IMAGE;sparkling bouncy broadly;of evil phooey;false;2025-12-19T07:49:10
10;graffiti nor modulo;instead;TEXT;defiantly;under;true;2025-12-19T23:07:43
