id;numero;capacidad;descripcion;imagen;activo
1;geez whereas substantiate;19956;concerned duh;whoa up;false
2;towards strictly;13463;astride;whoa old-fashioned harp;true
3;a lace;31589;busy;exterior gee;false
4;alliance;28505;hmph;sternly knit;false
5;taxicab;26995;mmm like;since yippee;true
6;whereas ack legislature;8523;wedge dandelion;waterspout kookily;false
7;mask boohoo giggle;11626;finally vibrant until;monthly;true
8;gadzooks bonnet;19934;obsess urban;psst scented;true
9;pop although;15765;oxidise yum micromanage;boohoo importance yahoo;false
10;instead;15849;though stable;whitewash mealy gazebo;true
