id;nombre;descripcion;fichero;fichero_content_type;nombre_archivo;activo;fecha_creacion
1;pfft instantly;frankly lest;../fake-data/blob/hipster.png;image/png;word aw outside;true;2025-12-19T12:52:03
2;grouper;ew openly;../fake-data/blob/hipster.png;image/png;amidst round musty;false;2025-12-19T21:29:26
3;hotfoot weighty;potable;../fake-data/blob/hipster.png;image/png;nor traduce;true;2025-12-19T13:37:16
4;helpfully;bah woot after;../fake-data/blob/hipster.png;image/png;gray upliftingly;true;2025-12-19T00:03:47
5;yuck;outlandish yum whoa;../fake-data/blob/hipster.png;image/png;pfft provided whenever;false;2025-12-19T10:57:48
6;till;duh;../fake-data/blob/hipster.png;image/png;short woot beneath;true;2025-12-19T20:00:58
7;near pine except;after;../fake-data/blob/hipster.png;image/png;dream;false;2025-12-19T20:13:56
8;round extremely duh;smoggy tiny;../fake-data/blob/hipster.png;image/png;heighten gestate;true;2025-12-19T08:11:18
9;unwieldy likely;um save dense;../fake-data/blob/hipster.png;image/png;before instead sniveling;false;2025-12-19T22:43:48
10;which oh;hm bemuse scarification;../fake-data/blob/hipster.png;image/png;psst depart;false;2025-12-19T19:28:14
