id;fecha_pago;monto;metodo_pago;estado;activo
1;2025-12-11T01:14:24;17777.63;EFECTIVO;RECHAZADO;false
2;2025-12-11T01:33:56;13424.42;EFECTIVO;PENDIENTE;false
3;2025-12-10T04:05:20;11273.95;EFECTIVO;COMPLETADO;false
4;2025-12-10T12:39:13;477.71;EFECTIVO;COMPLETADO;false
5;2025-12-10T09:25:24;29789.77;EFECTIVO;PENDIENTE;false
6;2025-12-10T10:52:08;618.67;EFECTIVO;PENDIENTE;true
7;2025-12-10T19:59:49;31479.64;EFECTIVO;COMPLETADO;true
8;2025-12-10T13:04:39;5109.92;TARJETA;RECHAZADO;false
9;2025-12-10T10:10:14;31719.69;TARJETA;RECHAZADO;false
10;2025-12-10T11:17:37;28102.54;EFECTIVO;PENDIENTE;true
