id;nombre;url_enlace;icono_url;color_hex;activo
1;avaricious leading;across quash since;manner;deeply ;false
2;yet;ew;till oof feminize;ugh pli;true
3;murky;militate;sharply during;hutch;false
4;er ack;clear-cut;unless;snow ov;false
5;than circulate kiss;cone oval;excluding;abnorma;false
6;happy-go-lucky yahoo;an whereas greatly;whereas disapprove;queasil;true
7;incidentally probate political;gadzooks;so hornet;qua;false
8;twist whoa yearly;past ack;lest stack;aha sed;true
9;unless joyously;up;delete;riser;false
10;wry above uh-huh;litter;modulo waft hawk;devoted;false
