id;fecha_reserva;fecha_inicio;fecha_fin;estado;activo
1;2025-12-10T20:53:35;2025-12-10T11:43:01;2025-12-10T06:45:19;CONFIRMADA;false
2;2025-12-10T02:59:43;2025-12-10T16:18:57;2025-12-10T07:18:49;CONFIRMADA;false
3;2025-12-10T21:38:09;2025-12-10T03:58:00;2025-12-10T21:53:36;CONFIRMADA;true
4;2025-12-11T00:00:56;2025-12-10T21:09:07;2025-12-10T09:25:39;CANCELADA;false
5;2025-12-10T19:23:13;2025-12-10T14:10:36;2025-12-10T04:52:27;CONFIRMADA;true
6;2025-12-10T23:15:02;2025-12-10T16:51:18;2025-12-10T10:26:18;CONFIRMADA;false
7;2025-12-10T09:22:41;2025-12-11T00:23:23;2025-12-10T15:58:08;CONFIRMADA;true
8;2025-12-10T20:59:05;2025-12-10T04:01:37;2025-12-10T16:52:04;PENDIENTE;true
9;2025-12-10T14:39:09;2025-12-10T15:48:57;2025-12-10T06:00:44;CANCELADA;true
10;2025-12-10T08:04:07;2025-12-10T11:55:04;2025-12-10T05:53:00;CANCELADA;false
