id;nombre;descripcion;tipo;precio;disponible;url_image
1;junior plait;inure;PAGO;10034.22;true;impolite
2;openly worth;where;PAGO;32602.16;false;as tensely pish
3;configuration except;shakily mushy lasting;PAGO;1785.47;false;fooey except
4;polyester;incomplete boo;PAGO;24067.35;true;um
5;scarper gee;able or;GRATUITO;12191.29;true;beneath pish optimistically
6;over;categorise essay;GRATUITO;4674.74;true;circa pfft sizzling
7;coast huzzah gah;whenever robust;GRATUITO;12922.7;false;whether when fumigate
8;above brood untried;wallop;PAGO;26320.46;false;powerless sham except
9;afore slope massage;since secret ick;PAGO;31780.23;true;what cow
10;snarling kindheartedly;only;PAGO;7844.74;true;meanwhile grouper suckle
