id;fecha_contratacion;cantidad;precio_unitario;estado;observaciones
1;2025-12-19T01:21:09;19505;31677.04;PENDIENTE;svelte tectonics
2;2025-12-19T01:26:48;14207;12633.91;CANCELADO;cheap
3;2025-12-18T21:41:40;3176;8612.83;PENDIENTE;desecrate
4;2025-12-19T00:44:29;30026;758.66;CANCELADO;slimy gulp ew
5;2025-12-18T19:31:02;30569;9166.81;CANCELADO;unnecessarily lovable
6;2025-12-18T14:21:56;32031;3577.05;COMPLETADO;sweetly mmm
7;2025-12-18T11:27:00;26720;6442.51;CONFIRMADO;of under so
8;2025-12-18T21:17:02;20813;17679;PENDIENTE;black-and-white stale
9;2025-12-18T18:49:00;14926;20462.67;CONFIRMADO;provided
10;2025-12-18T07:03:58;561;22573.83;COMPLETADO;internationalize mmm
