id;latitud;longitud;nombre;direccion;google_maps_url;activo
1;7225.39;3229.42;fooey;yahoo tense;attribute annual;true
2;31005.35;17976.69;sleepy;pleasant;shyly lobster mid;false
3;1806.72;6969.85;concerning;apropos;upsell premium failing;true
4;28470.28;11565.88;shudder waltz save;astride geez;circulate however inasmuch;true
5;1897.77;28778.05;inside;puny;kissingly until;false
6;25302.49;21709.34;immediately fast hmph;freezing hydrocarbon gut;merrily anenst volleyball;true
7;24625.62;6587.74;perky pave in;entice quietly;edge until;false
8;28584.25;2110.15;premier curiously happily;moisten;indeed ceramics;true
9;4288.86;22014.9;pfft ultimate;in;embalm;true
10;21195.85;30176.67;unit;anxiously;down;false
